Title,lat,lng,Tags (Keywords),Features,Category,id
Tim Hortons,49.279945,-123.11753,"doughnuts,timbits,breakfastsandwich,greatdonuts,placerecommended,quickbreakfast,canada,robson,latte,patrons,good coffee,good getting coffee,good cup coffee,good service,good food,box good service,great coffee,good breakfast,good place,fast good place,quick coffee,coffee good staff,great fast service,great service,good location,nice coffee,coffee more parking,coffee excellent,good change,good menu,","Takeout,Seating,WheelchairAccessible,FreeWifi","Cafe,Fastfood,Canadian,Breakfast,",96
A&W Restaurant,49.282856,-123.11776,",,","Takeout,Seating","Fastfood,Lunch,Dinner,",1159
Subway,49.262814,-123.09092,",best subway,good food,good service,healthy food subway,great job subway,good place,good sub u,many subway,good value,good job location,best server,good variety,good value quality,great food,great service,good old way,good chain store,good amount filling,friendly service quality,friendly staff dinner,",,"Fastfood,Breakfast,Lunch,Dinner,",1341
Dairy Queen Grill & Chill,49.259438,-123.10079,",,",,"American,,",2552
White Spot,49.27605,-123.1278,"unlimitedfries,burger,salad,potatoes,pie,granvillehotel,drakestreet,atehere,servers,good service,great food,good friend,great restaurant,good portion,good use,good thing,perfect food,good vacuuming,great unlimited fry,great condition staff,great birthday dinner,service superb,full food,legendary burger,location special favorite,amazing burger bacon,phenomenal burger,exceptional friendly staff,enjoy break,","Takeout,Seating,HighchairsAvailable,WheelchairAccessible,ServesAlcohol,FullBar,FreeWifi,TableService,Reservations","American,Canadian,Breakfast,Lunch,Dinner,Brunch,Drinks,VegetarianFriendly,GlutenFreeOptions",2633
Moxie's Grill & Bar,49.28118,-123.13217,"whitechocolatebrownie,burger,sirloin,wings,caesarsalad,daviestreet,sandmansuites,bite,,","Takeout,Reservations,Seating,StreetParking,Television,WheelchairAccessible,ServesAlcohol,FullBar,FreeWifi,AcceptsCreditCards,TableService","American,Bar,International,Grill,Canadian,Lunch,Dinner,Brunch,Drinks,Breakfast,After-hours,VegetarianFriendly",2786
Little Japan Restaurant,49.28468,-123.11189,",lovely place sushi,my favorite roll,",,",,",2798
Little Saigon,49.273792,-123.123055,",good dim sum,delicious spring roll,great service,amazing food,tom special,nice decor,good size portion,overall good experience,great service,top vermicelli,well good price,","Takeout,Seating,Reservations,WheelchairAccessible,TableService","Asian,Vietnamese,Lunch,Dinner,VeganOptions,VegetarianFriendly",2813
Meat & Bread,49.28262,-123.109535,"porchetta,sandwich,bread,pork,coleslaw,lunchrush,specialoftheday,quicklunch,fastfood,crackling,gastown,bite,,","ParkingAvailable,ServesAlcohol,Takeout,Seating,StreetParking,WheelchairAccessible,WineandBeer,AcceptsAmericanExpress,AcceptsMastercard,AcceptsVisa,AcceptsCreditCards,DigitalPayments","Fastfood,Canadian,Soups,British,Lunch,Drinks,VegetarianFriendly",2869
Panago Pizza,49.25877,-123.10077,",many choice pizza,great service,hot friendly staff,good time,good service,our favorite pizza,great customer experience,great crust love,super good experience,our great team,quick bite,many level,more menu,delicious veg pepperoni,most people,good pizza staff,great place pizza,panago best pizza,love pizza,good choice staff,",,"Pizza,,",3160
